Time,GMSL
1993-01-01,-1.6
1993-02-01,-3.4
1993-03-01,5.5
1993-04-01,0.1
1993-05-01,5.3
1993-06-01,0.2
1993-07-01,3.9
1993-08-01,0.2
1993-09-01,3.1
1993-10-01,-0.1
1993-11-01,0.5
1993-12-01,3.2
1994-01-01,2.9
1994-02-01,0.2
1994-03-01,9.3
1994-04-01,6.6
1994-05-01,2.7
1994-06-01,2.4
1994-07-01,1.5
1994-08-01,3.4
1994-09-01,-0.1
1994-10-01,3.4
1994-11-01,-3.5
1994-12-01,4
1995-01-01,2.3
1995-02-01,6.5
1995-03-01,6.9
1995-04-01,10
1995-05-01,2.5
1995-06-01,7.8
1995-07-01,0.7
1995-08-01,7.1
1995-09-01,5
1995-10-01,7.6
1995-11-01,3.1
1995-12-01,9.5
1996-01-01,0.1
1996-02-01,12.2
1996-03-01,7.5
1996-04-01,12.3
1996-05-01,11.2
1996-06-01,13.9
1996-07-01,13.4
1996-08-01,11.9
1996-09-01,10.8
1996-10-01,19.6
1996-11-01,15.6
1996-12-01,7.6
1997-01-01,10.8
1997-02-01,9.3
1997-03-01,15
1997-04-01,12.4
1997-05-01,17.6
1997-06-01,14.8
1997-07-01,21.5
1997-08-01,17.4
1997-09-01,24.2
1997-10-01,16.8
1997-11-01,20.3
1997-12-01,12.5
1998-01-01,20.8
1998-02-01,19.2
1998-03-01,25.9
1998-04-01,23
1998-05-01,25
1998-06-01,19.4
1998-07-01,24.6
1998-08-01,19.8
1998-09-01,21.7
1998-10-01,21.8
1998-11-01,20.5
1998-12-01,21.5
1999-01-01,22.7
1999-02-01,24.9
1999-03-01,20.6
1999-04-01,22.1
1999-05-01,18.8
1999-06-01,20.6
1999-07-01,19.8
1999-08-01,22.9
1999-09-01,18
1999-10-01,28
1999-11-01,17.9
1999-12-01,28.8
2000-01-01,22.4
2000-02-01,28.6
2000-03-01,24.5
2000-04-01,27.2
2000-05-01,20.7
2000-06-01,26.7
2000-07-01,20
2000-08-01,26.3
2000-09-01,23
2000-10-01,30.3
2000-11-01,24.1
2000-12-01,25.7
2001-01-01,26.9
2001-02-01,28.2
2001-03-01,30.4
2001-04-01,30.1
2001-05-01,29
2001-06-01,28.9
2001-07-01,32.5
2001-08-01,27.6
2001-09-01,34.8
2001-10-01,27.8
2001-11-01,32.6
2001-12-01,26.6
2002-01-01,32.2
2002-02-01,32.4
2002-03-01,32.2
2002-04-01,32
2002-05-01,33.8
2002-06-01,31.1
2002-07-01,35.3
2002-08-01,36.7
2002-09-01,32.8
2002-10-01,36.1
2002-11-01,32.2
2002-12-01,33.1
2003-01-01,34.5
2003-02-01,37
2003-03-01,36.6
2003-04-01,35.8
2003-05-01,36.4
2003-06-01,33.3
2003-07-01,34.2
2003-08-01,33.4
2003-09-01,37.7
2003-10-01,35.6
2003-11-01,34.5
2003-12-01,35.2
2004-01-01,39.1
2004-02-01,37
2004-03-01,39.3
2004-04-01,38.7
2004-05-01,37.2
2004-06-01,36.7
2004-07-01,38.4
2004-08-01,36.1
2004-09-01,39
2004-10-01,35.3
2004-11-01,35.3
2004-12-01,39.2
2005-01-01,38.1
2005-02-01,40.9
2005-03-01,42.5
2005-04-01,40.5
2005-05-01,41.4
2005-06-01,41.9
2005-07-01,40.9
2005-08-01,40.4
2005-09-01,40.6
2005-10-01,41
2005-11-01,43.6
2005-12-01,44.7
2006-01-01,40.1
2006-02-01,43.5
